country,ISO3,year,sex,registry_count,registry_scope,total_thyroid_cases,papillary_cases,follicular_cases,medullary_cases,anaplastic_cases,specified_other_cases,unspecified_cases,component_sum,reconciles_to_total,PTC_proportion_percent,FTC_proportion_percent,MTC_proportion_percent,ATC_proportion_percent,other_specified_proportion_percent,unspecified_proportion_percent,PTC_FTC_ratio,analytic_era,era_quality,fixed_break_model_eligible,primary_latency_break,denominator_status,microscopic_verification,source,source_url
Australia,AUS,1984,male,5,stable_subnational_composite,96,52,23,5,2,9,5,96,YES,54.166666666666664,23.958333333333332,5.208333333333333,2.0833333333333335,9.375,5.208333333333333,2.260869565217391,1983-1992_FIVE_REGISTRIES,WEAK,NO,2014,THYROID_CASE_TOTAL_ONLY_COMPOSITIONAL_NO_POPULATION_DENOMINATOR,UNAVAILABLE_IN_OPEN_CI5PLUS_DETAILED_EXPORT,IARC CI5plus Detailed official morphology export,https://ci5.iarc.who.int/ci5plus/download/
Australia,AUS,1985,both,5,stable_subnational_composite,341,197,79,12,16,16,21,341,YES,57.77126099706745,23.167155425219942,3.5190615835777126,4.69208211143695,4.69208211143695,6.158357771260997,2.4936708860759493,1983-1992_FIVE_REGISTRIES,WEAK,NO,2014,THYROID_CASE_TOTAL_ONLY_COMPOSITIONAL_NO_POPULATION_DENOMINATOR,UNAVAILABLE_IN_OPEN_CI5PLUS_DETAILED_EXPORT,IARC CI5plus Detailed official morphology export,https://ci5.iarc.who.int/ci5plus/download/
Australia,AUS,1985,female,5,stable_subnational_composite,239,132,58,9,13,10,17,239,YES,55.23012552301255,24.267782426778243,3.7656903765690375,5.439330543933054,4.184100418410042,7.112970711297071,2.2758620689655173,1983-1992_FIVE_REGISTRIES,WEAK,NO,2014,THYROID_CASE_TOTAL_ONLY_COMPOSITIONAL_NO_POPULATION_DENOMINATOR,UNAVAILABLE_IN_OPEN_CI5PLUS_DETAILED_EXPORT,IARC CI5plus Detailed official morphology export,https://ci5.iarc.who.int/ci5plus/download/
Australia,AUS,1985,male,5,stable_subnational_composite,102,65,21,3,3,6,4,102,YES,63.72549019607843,20.58823529411765,2.9411764705882355,2.9411764705882355,5.882352941176471,3.9215686274509802,3.0952380952380953,1983-1992_FIVE_REGISTRIES,WEAK,NO,2014,THYROID_CASE_TOTAL_ONLY_COMPOSITIONAL_NO_POPULATION_DENOMINATOR,UNAVAILABLE_IN_OPEN_CI5PLUS_DETAILED_EXPORT,IARC CI5plus Detailed official morphology export,https://ci5.iarc.who.int/ci5plus/download/
Australia,AUS,1986,both,5,stable_subnational_composite,353,205,74,22,21,7,24,353,YES,58.07365439093484,20.96317280453258,6.232294617563739,5.949008498583569,1.9830028328611897,6.798866855524079,2.77027027027027,1983-1992_FIVE_REGISTRIES,WEAK,NO,2014,THYROID_CASE_TOTAL_ONLY_COMPOSITIONAL_NO_POPULATION_DENOMINATOR,UNAVAILABLE_IN_OPEN_CI5PLUS_DETAILED_EXPORT,IARC CI5plus Detailed official morphology export,https://ci5.iarc.who.int/ci5plus/download/
Australia,AUS,1986,female,5,stable_subnational_composite,262,149,60,15,14,6,18,262,YES,56.87022900763359,22.900763358778626,5.7251908396946565,5.343511450381679,2.2900763358778624,6.870229007633588,2.4833333333333334,1983-1992_FIVE_REGISTRIES,WEAK,NO,2014,THYROID_CASE_TOTAL_ONLY_COMPOSITIONAL_NO_POPULATION_DENOMINATOR,UNAVAILABLE_IN_OPEN_CI5PLUS_DETAILED_EXPORT,IARC CI5plus Detailed official morphology export,https://ci5.iarc.who.int/ci5plus/download/
Australia,AUS,1986,male,5,stable_subnational_composite,91,56,14,7,7,1,6,91,YES,61.53846153846154,15.384615384615385,7.6923076923076925,7.6923076923076925,1.098901098901099,6.593406593406593,4.0,1983-1992_FIVE_REGISTRIES,WEAK,NO,2014,THYROID_CASE_TOTAL_ONLY_COMPOSITIONAL_NO_POPULATION_DENOMINATOR,UNAVAILABLE_IN_OPEN_CI5PLUS_DETAILED_EXPORT,IARC CI5plus Detailed official morphology export,https://ci5.iarc.who.int/ci5plus/download/
Australia,AUS,1987,both,5,stable_subnational_composite,380,222,95,21,17,9,16,380,YES,58.421052631578945,25.0,5.526315789473684,4.473684210526316,2.3684210526315788,4.2105263157894735,2.336842105263158,1983-1992_FIVE_REGISTRIES,WEAK,NO,2014,THYROID_CASE_TOTAL_ONLY_COMPOSITIONAL_NO_POPULATION_DENOMINATOR,UNAVAILABLE_IN_OPEN_CI5PLUS_DETAILED_EXPORT,IARC CI5plus Detailed official morphology export,https://ci5.iarc.who.int/ci5plus/download/
Australia,AUS,1987,female,5,stable_subnational_composite,284,168,75,11,14,6,10,284,YES,59.15492957746479,26.408450704225352,3.8732394366197185,4.929577464788732,2.112676056338028,3.5211267605633805,2.24,1983-1992_FIVE_REGISTRIES,WEAK,NO,2014,THYROID_CASE_TOTAL_ONLY_COMPOSITIONAL_NO_POPULATION_DENOMINATOR,UNAVAILABLE_IN_OPEN_CI5PLUS_DETAILED_EXPORT,IARC CI5plus Detailed official morphology export,https://ci5.iarc.who.int/ci5plus/download/
Australia,AUS,1987,male,5,stable_subnational_composite,96,54,20,10,3,3,6,96,YES,56.25,20.833333333333332,10.416666666666666,3.125,3.125,6.25,2.7,1983-1992_FIVE_REGISTRIES,WEAK,NO,2014,THYROID_CASE_TOTAL_ONLY_COMPOSITIONAL_NO_POPULATION_DENOMINATOR,UNAVAILABLE_IN_OPEN_CI5PLUS_DETAILED_EXPORT,IARC CI5plus Detailed official morphology export,https://ci5.iarc.who.int/ci5plus/download/
