country,ISO3,year,sex,C73_deaths,population,ASMR_per_100k,standard_population,mortality_quality,primary_latency_break,observed_status,source,source_url,analysis_role
Australia,AUS,2018,female,84,12573037.0,0.25463371,CI5 Segi/Doll world standard,A,2014,OBSERVED,WHO Mortality Database observed national C73,https://ci5.iarc.who.int/ci5plus/help/,SEX_SPECIFIC_SECONDARY
Australia,AUS,2019,female,65,12757605.0,0.21253092,CI5 Segi/Doll world standard,A,2014,OBSERVED,WHO Mortality Database observed national C73,https://ci5.iarc.who.int/ci5plus/help/,SEX_SPECIFIC_SECONDARY
Australia,AUS,2020,female,64,12920609.0,0.19368031,CI5 Segi/Doll world standard,A,2014,OBSERVED,WHO Mortality Database observed national C73,https://ci5.iarc.who.int/ci5plus/help/,SEX_SPECIFIC_SECONDARY
Australia,AUS,2021,female,75,12936002.0,0.2085849,CI5 Segi/Doll world standard,A,2014,OBSERVED,WHO Mortality Database observed national C73,https://ci5.iarc.who.int/ci5plus/help/,SEX_SPECIFIC_SECONDARY
Australia,AUS,2022,female,87,13098305.0,0.25523107,CI5 Segi/Doll world standard,A,2014,OBSERVED,WHO Mortality Database observed national C73,https://ci5.iarc.who.int/ci5plus/help/,SEX_SPECIFIC_SECONDARY
Australia,AUS,2023,female,101,13412907.0,0.29428422,CI5 Segi/Doll world standard,A,2014,OBSERVED,WHO Mortality Database observed national C73,https://ci5.iarc.who.int/ci5plus/help/,SEX_SPECIFIC_SECONDARY
Australia,AUS,2024,female,75,13698889.0,0.18690478,CI5 Segi/Doll world standard,A,2014,OBSERVED,WHO Mortality Database observed national C73,https://ci5.iarc.who.int/ci5plus/help/,SEX_SPECIFIC_SECONDARY
Australia,AUS,1998,male,37,9294674.0,0.2831028,CI5 Segi/Doll world standard,A,2014,OBSERVED,WHO Mortality Database observed national C73,https://ci5.iarc.who.int/ci5plus/help/,SEX_SPECIFIC_SECONDARY
Australia,AUS,1999,male,36,9396548.0,0.25583047,CI5 Segi/Doll world standard,A,2014,OBSERVED,WHO Mortality Database observed national C73,https://ci5.iarc.who.int/ci5plus/help/,SEX_SPECIFIC_SECONDARY
Australia,AUS,2000,male,40,9505331.0,0.29045909,CI5 Segi/Doll world standard,A,2014,OBSERVED,WHO Mortality Database observed national C73,https://ci5.iarc.who.int/ci5plus/help/,SEX_SPECIFIC_SECONDARY
