country,ISO3,year,sex,C73_cases,population,analysis_rate_per_100k,age_group,incidence_rate_per_100k,ASIR_WHO_per_100k,ASIR_Segi_per_100k,analysis_rate_standard,policy_year,primary_break_year,source,source_url,raw_file,raw_file_SHA256,observed_status,model_inclusion,population_status,series_segment
Croatia,HRV,1995,both,237.0,4572737.0,4.02677602498024,All ages (age-standardised),5.1828915592565235,,4.02677602498024,CI5 Segi/Doll world standard,1996,2001,IARC Cancer Over Time national observed C73 incidence,https://gco-api.iarc.fr/api/overtime/v2/22/,public_p25_data/iarc_cot/thyroid_incidence_02.json,bb70ec8fd7e4fcc34bd3e609b85ab42b1c61716173a50167f4299f3bd45e3e59,OBSERVED,YES,OFFICIAL_PERSON_YEARS_EMBEDDED_WITH_IARC_RECORD,HISTORICAL_IARC_1988_2017
Croatia,HRV,1995,female,183.0,2362421.0,6.09610873,All ages (age-standardised),7.746290775437571,,6.09610873,CI5 Segi/Doll world standard,1996,2001,IARC Cancer Over Time national observed C73 incidence,https://gco-api.iarc.fr/api/overtime/v2/22/,public_p25_data/iarc_cot/thyroid_incidence_02.json,bb70ec8fd7e4fcc34bd3e609b85ab42b1c61716173a50167f4299f3bd45e3e59,OBSERVED,NO,OFFICIAL_PERSON_YEARS_EMBEDDED_WITH_IARC_RECORD,HISTORICAL_IARC_1988_2017
Croatia,HRV,1995,male,54.0,2210316.0,1.93997611,All ages (age-standardised),2.4430895853805517,,1.93997611,CI5 Segi/Doll world standard,1996,2001,IARC Cancer Over Time national observed C73 incidence,https://gco-api.iarc.fr/api/overtime/v2/22/,public_p25_data/iarc_cot/thyroid_incidence_02.json,bb70ec8fd7e4fcc34bd3e609b85ab42b1c61716173a50167f4299f3bd45e3e59,OBSERVED,NO,OFFICIAL_PERSON_YEARS_EMBEDDED_WITH_IARC_RECORD,HISTORICAL_IARC_1988_2017
Croatia,HRV,1996,both,213.0,4542368.0,3.595420368753068,All ages (age-standardised),4.689184143600871,,3.595420368753068,CI5 Segi/Doll world standard,1996,2001,IARC Cancer Over Time national observed C73 incidence,https://gco-api.iarc.fr/api/overtime/v2/22/,public_p25_data/iarc_cot/thyroid_incidence_02.json,bb70ec8fd7e4fcc34bd3e609b85ab42b1c61716173a50167f4299f3bd45e3e59,OBSERVED,YES,OFFICIAL_PERSON_YEARS_EMBEDDED_WITH_IARC_RECORD,HISTORICAL_IARC_1988_2017
Croatia,HRV,1996,female,173.0,2348383.0,5.70205756,All ages (age-standardised),7.366771093130891,,5.70205756,CI5 Segi/Doll world standard,1996,2001,IARC Cancer Over Time national observed C73 incidence,https://gco-api.iarc.fr/api/overtime/v2/22/,public_p25_data/iarc_cot/thyroid_incidence_02.json,bb70ec8fd7e4fcc34bd3e609b85ab42b1c61716173a50167f4299f3bd45e3e59,OBSERVED,NO,OFFICIAL_PERSON_YEARS_EMBEDDED_WITH_IARC_RECORD,HISTORICAL_IARC_1988_2017
Croatia,HRV,1996,male,40.0,2193985.0,1.42830533,All ages (age-standardised),1.8231665211931714,,1.42830533,CI5 Segi/Doll world standard,1996,2001,IARC Cancer Over Time national observed C73 incidence,https://gco-api.iarc.fr/api/overtime/v2/22/,public_p25_data/iarc_cot/thyroid_incidence_02.json,bb70ec8fd7e4fcc34bd3e609b85ab42b1c61716173a50167f4299f3bd45e3e59,OBSERVED,NO,OFFICIAL_PERSON_YEARS_EMBEDDED_WITH_IARC_RECORD,HISTORICAL_IARC_1988_2017
Croatia,HRV,1997,both,229.0,4513828.0,3.8161951902219786,All ages (age-standardised),5.0732992041344955,,3.8161951902219786,CI5 Segi/Doll world standard,1996,2001,IARC Cancer Over Time national observed C73 incidence,https://gco-api.iarc.fr/api/overtime/v2/22/,public_p25_data/iarc_cot/thyroid_incidence_02.json,bb70ec8fd7e4fcc34bd3e609b85ab42b1c61716173a50167f4299f3bd45e3e59,OBSERVED,YES,OFFICIAL_PERSON_YEARS_EMBEDDED_WITH_IARC_RECORD,HISTORICAL_IARC_1988_2017
Croatia,HRV,1997,female,175.0,2335198.0,5.67447544,All ages (age-standardised),7.494011214466611,,5.67447544,CI5 Segi/Doll world standard,1996,2001,IARC Cancer Over Time national observed C73 incidence,https://gco-api.iarc.fr/api/overtime/v2/22/,public_p25_data/iarc_cot/thyroid_incidence_02.json,bb70ec8fd7e4fcc34bd3e609b85ab42b1c61716173a50167f4299f3bd45e3e59,OBSERVED,NO,OFFICIAL_PERSON_YEARS_EMBEDDED_WITH_IARC_RECORD,HISTORICAL_IARC_1988_2017
Croatia,HRV,1997,male,54.0,2178630.0,1.99529689,All ages (age-standardised),2.4786218862312555,,1.99529689,CI5 Segi/Doll world standard,1996,2001,IARC Cancer Over Time national observed C73 incidence,https://gco-api.iarc.fr/api/overtime/v2/22/,public_p25_data/iarc_cot/thyroid_incidence_02.json,bb70ec8fd7e4fcc34bd3e609b85ab42b1c61716173a50167f4299f3bd45e3e59,OBSERVED,NO,OFFICIAL_PERSON_YEARS_EMBEDDED_WITH_IARC_RECORD,HISTORICAL_IARC_1988_2017
Croatia,HRV,1998,both,238.0,4487121.0,4.021536557440179,All ages (age-standardised),5.304069134752551,,4.021536557440179,CI5 Segi/Doll world standard,1996,2001,IARC Cancer Over Time national observed C73 incidence,https://gco-api.iarc.fr/api/overtime/v2/22/,public_p25_data/iarc_cot/thyroid_incidence_02.json,bb70ec8fd7e4fcc34bd3e609b85ab42b1c61716173a50167f4299f3bd45e3e59,OBSERVED,YES,OFFICIAL_PERSON_YEARS_EMBEDDED_WITH_IARC_RECORD,HISTORICAL_IARC_1988_2017
