"panel","country","ISO3","year","observed_ASIR_per_100k","fitted_segmented_ASIR_per_100k","fitted_segment","policy_year","primary_break_year","pre_break_slope","post_break_slope","slope_change","slope_change_CI95_low","slope_change_CI95_high","observed_status","projected","pooled_estimate"
"A  Australia","Australia","AUS",1995,4.1,4.43011363636364,"Fitted pre-break trend",2009,2014,0.239204545454545,0.239285714285714,0.0000811688311689933,-0.0644519859213975,0.0646143235837355,"OBSERVED","NO","NO"
"A  Australia","Australia","AUS",1996,4.4,4.66931818181819,"Fitted pre-break trend",2009,2014,0.239204545454545,0.239285714285714,0.0000811688311689933,-0.0644519859213975,0.0646143235837355,"OBSERVED","NO","NO"
"A  Australia","Australia","AUS",1997,4.2,4.90852272727273,"Fitted pre-break trend",2009,2014,0.239204545454545,0.239285714285714,0.0000811688311689933,-0.0644519859213975,0.0646143235837355,"OBSERVED","NO","NO"
"A  Australia","Australia","AUS",1998,4.7,5.14772727272728,"Fitted pre-break trend",2009,2014,0.239204545454545,0.239285714285714,0.0000811688311689933,-0.0644519859213975,0.0646143235837355,"OBSERVED","NO","NO"
"A  Australia","Australia","AUS",1999,4.7,5.38693181818182,"Fitted pre-break trend",2009,2014,0.239204545454545,0.239285714285714,0.0000811688311689933,-0.0644519859213975,0.0646143235837355,"OBSERVED","NO","NO"
"A  Australia","Australia","AUS",2000,4.9,5.62613636363637,"Fitted pre-break trend",2009,2014,0.239204545454545,0.239285714285714,0.0000811688311689933,-0.0644519859213975,0.0646143235837355,"OBSERVED","NO","NO"
"A  Australia","Australia","AUS",2001,5.4,5.86534090909091,"Fitted pre-break trend",2009,2014,0.239204545454545,0.239285714285714,0.0000811688311689933,-0.0644519859213975,0.0646143235837355,"OBSERVED","NO","NO"
"A  Australia","Australia","AUS",2002,5.4,6.10454545454546,"Fitted pre-break trend",2009,2014,0.239204545454545,0.239285714285714,0.0000811688311689933,-0.0644519859213975,0.0646143235837355,"OBSERVED","NO","NO"
"A  Australia","Australia","AUS",2003,6.2,6.34375,"Fitted pre-break trend",2009,2014,0.239204545454545,0.239285714285714,0.0000811688311689933,-0.0644519859213975,0.0646143235837355,"OBSERVED","NO","NO"
"A  Australia","Australia","AUS",2004,6.4,6.58295454545455,"Fitted pre-break trend",2009,2014,0.239204545454545,0.239285714285714,0.0000811688311689933,-0.0644519859213975,0.0646143235837355,"OBSERVED","NO","NO"
"A  Australia","Australia","AUS",2005,6.8,6.82215909090909,"Fitted pre-break trend",2009,2014,0.239204545454545,0.239285714285714,0.0000811688311689933,-0.0644519859213975,0.0646143235837355,"OBSERVED","NO","NO"
"A  Australia","Australia","AUS",2006,6.8,7.06136363636364,"Fitted pre-break trend",2009,2014,0.239204545454545,0.239285714285714,0.0000811688311689933,-0.0644519859213975,0.0646143235837355,"OBSERVED","NO","NO"
"A  Australia","Australia","AUS",2007,7.2,7.30056818181818,"Fitted pre-break trend",2009,2014,0.239204545454545,0.239285714285714,0.0000811688311689933,-0.0644519859213975,0.0646143235837355,"OBSERVED","NO","NO"
"A  Australia","Australia","AUS",2008,7.9,7.53977272727273,"Fitted pre-break trend",2009,2014,0.239204545454545,0.239285714285714,0.0000811688311689933,-0.0644519859213975,0.0646143235837355,"OBSERVED","NO","NO"
"A  Australia","Australia","AUS",2009,8,7.77897727272727,"Fitted pre-break trend",2009,2014,0.239204545454545,0.239285714285714,0.0000811688311689933,-0.0644519859213975,0.0646143235837355,"OBSERVED","NO","NO"
"A  Australia","Australia","AUS",2010,8.5,8.01818181818182,"Fitted pre-break trend",2009,2014,0.239204545454545,0.239285714285714,0.0000811688311689933,-0.0644519859213975,0.0646143235837355,"OBSERVED","NO","NO"
"A  Australia","Australia","AUS",2011,8.9,8.25738636363636,"Fitted pre-break trend",2009,2014,0.239204545454545,0.239285714285714,0.0000811688311689933,-0.0644519859213975,0.0646143235837355,"OBSERVED","NO","NO"
"A  Australia","Australia","AUS",2012,9.2,8.4965909090909,"Fitted pre-break trend",2009,2014,0.239204545454545,0.239285714285714,0.0000811688311689933,-0.0644519859213975,0.0646143235837355,"OBSERVED","NO","NO"
"A  Australia","Australia","AUS",2013,9.9,8.73579545454545,"Fitted pre-break trend",2009,2014,0.239204545454545,0.239285714285714,0.0000811688311689933,-0.0644519859213975,0.0646143235837355,"OBSERVED","NO","NO"
"A  Australia","Australia","AUS",2014,10,9.925,"Fitted post-break trend",2009,2014,0.239204545454545,0.239285714285714,0.0000811688311689933,-0.0644519859213975,0.0646143235837355,"OBSERVED","NO","NO"
"A  Australia","Australia","AUS",2015,10.2,10.1642857142857,"Fitted post-break trend",2009,2014,0.239204545454545,0.239285714285714,0.0000811688311689933,-0.0644519859213975,0.0646143235837355,"OBSERVED","NO","NO"
"A  Australia","Australia","AUS",2016,10.1,10.4035714285714,"Fitted post-break trend",2009,2014,0.239204545454545,0.239285714285714,0.0000811688311689933,-0.0644519859213975,0.0646143235837355,"OBSERVED","NO","NO"
"A  Australia","Australia","AUS",2017,10.6,10.6428571428571,"Fitted post-break trend",2009,2014,0.239204545454545,0.239285714285714,0.0000811688311689933,-0.0644519859213975,0.0646143235837355,"OBSERVED","NO","NO"
"A  Australia","Australia","AUS",2018,11.2,10.8821428571429,"Fitted post-break trend",2009,2014,0.239204545454545,0.239285714285714,0.0000811688311689933,-0.0644519859213975,0.0646143235837355,"OBSERVED","NO","NO"
"A  Australia","Australia","AUS",2019,11.4,11.1214285714286,"Fitted post-break trend",2009,2014,0.239204545454545,0.239285714285714,0.0000811688311689933,-0.0644519859213975,0.0646143235837355,"OBSERVED","NO","NO"
"A  Australia","Australia","AUS",2020,10.8,11.3607142857143,"Fitted post-break trend",2009,2014,0.239204545454545,0.239285714285714,0.0000811688311689933,-0.0644519859213975,0.0646143235837355,"OBSERVED","NO","NO"
"A  Australia","Australia","AUS",2021,11.8,11.6,"Fitted post-break trend",2009,2014,0.239204545454545,0.239285714285714,0.0000811688311689933,-0.0644519859213975,0.0646143235837355,"OBSERVED","NO","NO"
"B  New Zealand","New Zealand","NZL",2001,3.3,3.46813186813188,"Fitted pre-break trend",2009,2014,0.183516483516483,0.043030303030303,-0.14048618048618,-0.194956537225703,-0.0860158237466576,"OBSERVED","NO","NO"
"B  New Zealand","New Zealand","NZL",2002,3.5,3.65164835164836,"Fitted pre-break trend",2009,2014,0.183516483516483,0.043030303030303,-0.14048618048618,-0.194956537225703,-0.0860158237466576,"OBSERVED","NO","NO"
"B  New Zealand","New Zealand","NZL",2003,4.1,3.83516483516484,"Fitted pre-break trend",2009,2014,0.183516483516483,0.043030303030303,-0.14048618048618,-0.194956537225703,-0.0860158237466576,"OBSERVED","NO","NO"
"B  New Zealand","New Zealand","NZL",2004,4.2,4.01868131868132,"Fitted pre-break trend",2009,2014,0.183516483516483,0.043030303030303,-0.14048618048618,-0.194956537225703,-0.0860158237466576,"OBSERVED","NO","NO"
"B  New Zealand","New Zealand","NZL",2005,3.5,4.20219780219781,"Fitted pre-break trend",2009,2014,0.183516483516483,0.043030303030303,-0.14048618048618,-0.194956537225703,-0.0860158237466576,"OBSERVED","NO","NO"
"B  New Zealand","New Zealand","NZL",2006,4.8,4.38571428571429,"Fitted pre-break trend",2009,2014,0.183516483516483,0.043030303030303,-0.14048618048618,-0.194956537225703,-0.0860158237466576,"OBSERVED","NO","NO"
"B  New Zealand","New Zealand","NZL",2007,5.2,4.56923076923077,"Fitted pre-break trend",2009,2014,0.183516483516483,0.043030303030303,-0.14048618048618,-0.194956537225703,-0.0860158237466576,"OBSERVED","NO","NO"
"B  New Zealand","New Zealand","NZL",2008,4.9,4.75274725274726,"Fitted pre-break trend",2009,2014,0.183516483516483,0.043030303030303,-0.14048618048618,-0.194956537225703,-0.0860158237466576,"OBSERVED","NO","NO"
"B  New Zealand","New Zealand","NZL",2009,4.4,4.93626373626374,"Fitted pre-break trend",2009,2014,0.183516483516483,0.043030303030303,-0.14048618048618,-0.194956537225703,-0.0860158237466576,"OBSERVED","NO","NO"
"B  New Zealand","New Zealand","NZL",2010,5.2,5.11978021978022,"Fitted pre-break trend",2009,2014,0.183516483516483,0.043030303030303,-0.14048618048618,-0.194956537225703,-0.0860158237466576,"OBSERVED","NO","NO"
"B  New Zealand","New Zealand","NZL",2011,5.1,5.30329670329671,"Fitted pre-break trend",2009,2014,0.183516483516483,0.043030303030303,-0.14048618048618,-0.194956537225703,-0.0860158237466576,"OBSERVED","NO","NO"
"B  New Zealand","New Zealand","NZL",2012,5.4,5.48681318681319,"Fitted pre-break trend",2009,2014,0.183516483516483,0.043030303030303,-0.14048618048618,-0.194956537225703,-0.0860158237466576,"OBSERVED","NO","NO"
"B  New Zealand","New Zealand","NZL",2013,5.8,5.67032967032967,"Fitted pre-break trend",2009,2014,0.183516483516483,0.043030303030303,-0.14048618048618,-0.194956537225703,-0.0860158237466576,"OBSERVED","NO","NO"
"B  New Zealand","New Zealand","NZL",2014,5.7,5.73636363636364,"Fitted post-break trend",2009,2014,0.183516483516483,0.043030303030303,-0.14048618048618,-0.194956537225703,-0.0860158237466576,"OBSERVED","NO","NO"
"B  New Zealand","New Zealand","NZL",2015,5.8,5.77939393939394,"Fitted post-break trend",2009,2014,0.183516483516483,0.043030303030303,-0.14048618048618,-0.194956537225703,-0.0860158237466576,"OBSERVED","NO","NO"
"B  New Zealand","New Zealand","NZL",2016,6.4,5.82242424242425,"Fitted post-break trend",2009,2014,0.183516483516483,0.043030303030303,-0.14048618048618,-0.194956537225703,-0.0860158237466576,"OBSERVED","NO","NO"
"B  New Zealand","New Zealand","NZL",2017,5.7,5.86545454545455,"Fitted post-break trend",2009,2014,0.183516483516483,0.043030303030303,-0.14048618048618,-0.194956537225703,-0.0860158237466576,"OBSERVED","NO","NO"
"B  New Zealand","New Zealand","NZL",2018,5.1,5.90848484848485,"Fitted post-break trend",2009,2014,0.183516483516483,0.043030303030303,-0.14048618048618,-0.194956537225703,-0.0860158237466576,"OBSERVED","NO","NO"
"B  New Zealand","New Zealand","NZL",2019,6.1,5.95151515151515,"Fitted post-break trend",2009,2014,0.183516483516483,0.043030303030303,-0.14048618048618,-0.194956537225703,-0.0860158237466576,"OBSERVED","NO","NO"
"B  New Zealand","New Zealand","NZL",2020,6.2,5.99454545454546,"Fitted post-break trend",2009,2014,0.183516483516483,0.043030303030303,-0.14048618048618,-0.194956537225703,-0.0860158237466576,"OBSERVED","NO","NO"
"B  New Zealand","New Zealand","NZL",2021,6.3,6.03757575757576,"Fitted post-break trend",2009,2014,0.183516483516483,0.043030303030303,-0.14048618048618,-0.194956537225703,-0.0860158237466576,"OBSERVED","NO","NO"
"B  New Zealand","New Zealand","NZL",2022,5.5,6.08060606060606,"Fitted post-break trend",2009,2014,0.183516483516483,0.043030303030303,-0.14048618048618,-0.194956537225703,-0.0860158237466576,"OBSERVED","NO","NO"
"B  New Zealand","New Zealand","NZL",2023,6.5,6.12363636363637,"Fitted post-break trend",2009,2014,0.183516483516483,0.043030303030303,-0.14048618048618,-0.194956537225703,-0.0860158237466576,"OBSERVED","NO","NO"
"C  Croatia","Croatia","HRV",1988,2.82021556863052,1.88141063953316,"Fitted pre-break trend",1996,2001,0.281052870172287,0.499981735486868,0.218928865314582,0.066213508361624,0.371644222267539,"OBSERVED","NO","NO"
"C  Croatia","Croatia","HRV",1989,2.45174651218959,2.16246350970545,"Fitted pre-break trend",1996,2001,0.281052870172287,0.499981735486868,0.218928865314582,0.066213508361624,0.371644222267539,"OBSERVED","NO","NO"
"C  Croatia","Croatia","HRV",1990,3.07030285380318,2.44351637987774,"Fitted pre-break trend",1996,2001,0.281052870172287,0.499981735486868,0.218928865314582,0.066213508361624,0.371644222267539,"OBSERVED","NO","NO"
"C  Croatia","Croatia","HRV",1991,2.23757048692937,2.72456925005002,"Fitted pre-break trend",1996,2001,0.281052870172287,0.499981735486868,0.218928865314582,0.066213508361624,0.371644222267539,"OBSERVED","NO","NO"
"C  Croatia","Croatia","HRV",1992,2.04312749563108,3.00562212022231,"Fitted pre-break trend",1996,2001,0.281052870172287,0.499981735486868,0.218928865314582,0.066213508361624,0.371644222267539,"OBSERVED","NO","NO"
"C  Croatia","Croatia","HRV",1993,3.33928680163185,3.2866749903946,"Fitted pre-break trend",1996,2001,0.281052870172287,0.499981735486868,0.218928865314582,0.066213508361624,0.371644222267539,"OBSERVED","NO","NO"
"C  Croatia","Croatia","HRV",1994,2.60102800966003,3.56772786056689,"Fitted pre-break trend",1996,2001,0.281052870172287,0.499981735486868,0.218928865314582,0.066213508361624,0.371644222267539,"OBSERVED","NO","NO"
"C  Croatia","Croatia","HRV",1995,4.02677602498024,3.84878073073917,"Fitted pre-break trend",1996,2001,0.281052870172287,0.499981735486868,0.218928865314582,0.066213508361624,0.371644222267539,"OBSERVED","NO","NO"
"C  Croatia","Croatia","HRV",1996,3.59542036875307,4.12983360091146,"Fitted pre-break trend",1996,2001,0.281052870172287,0.499981735486868,0.218928865314582,0.066213508361624,0.371644222267539,"OBSERVED","NO","NO"
"C  Croatia","Croatia","HRV",1997,3.81619519022198,4.41088647108375,"Fitted pre-break trend",1996,2001,0.281052870172287,0.499981735486868,0.218928865314582,0.066213508361624,0.371644222267539,"OBSERVED","NO","NO"
"C  Croatia","Croatia","HRV",1998,4.02153655744018,4.69193934125603,"Fitted pre-break trend",1996,2001,0.281052870172287,0.499981735486868,0.218928865314582,0.066213508361624,0.371644222267539,"OBSERVED","NO","NO"
"C  Croatia","Croatia","HRV",1999,6.14477345492144,4.97299221142832,"Fitted pre-break trend",1996,2001,0.281052870172287,0.499981735486868,0.218928865314582,0.066213508361624,0.371644222267539,"OBSERVED","NO","NO"
"C  Croatia","Croatia","HRV",2000,6.21248286257698,5.25404508160061,"Fitted pre-break trend",1996,2001,0.281052870172287,0.499981735486868,0.218928865314582,0.066213508361624,0.371644222267539,"OBSERVED","NO","NO"
"C  Croatia","Croatia","HRV",2001,5.24564956560325,4.88637024987805,"Fitted post-break trend",1996,2001,0.281052870172287,0.499981735486868,0.218928865314582,0.066213508361624,0.371644222267539,"OBSERVED","NO","NO"
"C  Croatia","Croatia","HRV",2002,5.74408808788342,5.38635198536492,"Fitted post-break trend",1996,2001,0.281052870172287,0.499981735486868,0.218928865314582,0.066213508361624,0.371644222267539,"OBSERVED","NO","NO"
"C  Croatia","Croatia","HRV",2003,6.07597867080004,5.88633372085179,"Fitted post-break trend",1996,2001,0.281052870172287,0.499981735486868,0.218928865314582,0.066213508361624,0.371644222267539,"OBSERVED","NO","NO"
"C  Croatia","Croatia","HRV",2004,6.67220165780601,6.38631545633865,"Fitted post-break trend",1996,2001,0.281052870172287,0.499981735486868,0.218928865314582,0.066213508361624,0.371644222267539,"OBSERVED","NO","NO"
"C  Croatia","Croatia","HRV",2005,6.98395403946933,6.88629719182552,"Fitted post-break trend",1996,2001,0.281052870172287,0.499981735486868,0.218928865314582,0.066213508361624,0.371644222267539,"OBSERVED","NO","NO"
"C  Croatia","Croatia","HRV",2006,7.15334068658957,7.38627892731239,"Fitted post-break trend",1996,2001,0.281052870172287,0.499981735486868,0.218928865314582,0.066213508361624,0.371644222267539,"OBSERVED","NO","NO"
"C  Croatia","Croatia","HRV",2007,7.72992015651701,7.88626066279926,"Fitted post-break trend",1996,2001,0.281052870172287,0.499981735486868,0.218928865314582,0.066213508361624,0.371644222267539,"OBSERVED","NO","NO"
